Price Dates,Vegetable,Vegetable Price
18-10-2023,Bhindi (Ladies finger),25.0
19-10-2023,Bhindi (Ladies finger),27.0
20-10-2023,Bhindi (Ladies finger),24.5
22-10-2023,Bhindi (Ladies finger),27.0
23-10-2023,Bhindi (Ladies finger),21.0
24-10-2023,Bhindi (Ladies finger),20.0
26-10-2023,Bhindi (Ladies finger),24.5
27-10-2023,Bhindi (Ladies finger),27.0
29-10-2023,Bhindi (Ladies finger),27.0
30-10-2023,Bhindi (Ladies finger),32.0
31-10-2023,Bhindi (Ladies finger),27.0
02-11-2023,Bhindi (Ladies finger),37.0
03-11-2023,Bhindi (Ladies finger),29.5
06-11-2023,Bhindi (Ladies finger),26.0
07-11-2023,Bhindi (Ladies finger),27.0
08-11-2023,Bhindi (Ladies finger),24.5
09-11-2023,Bhindi (Ladies finger),22.0
10-11-2023,Bhindi (Ladies finger),22.5
12-11-2023,Bhindi (Ladies finger),20.0
13-11-2023,Bhindi (Ladies finger),22.0
14-11-2023,Bhindi (Ladies finger),22.0
16-11-2023,Bhindi (Ladies finger),27.5
17-11-2023,Bhindi (Ladies finger),27.0
19-11-2023,Bhindi (Ladies finger),32.0
20-11-2023,Bhindi (Ladies finger),32.0
21-11-2023,Bhindi (Ladies finger),35.0
22-11-2023,Bhindi (Ladies finger),32.0
23-11-2023,Bhindi (Ladies finger),32.5
24-11-2023,Bhindi (Ladies finger),30.0
26-11-2023,Bhindi (Ladies finger),32.0
27-11-2023,Bhindi (Ladies finger),32.0
28-11-2023,Bhindi (Ladies finger),30.0
29-11-2023,Bhindi (Ladies finger),32.0
30-11-2023,Bhindi (Ladies finger),30.0
04-12-2023,Bhindi (Ladies finger),37.5
05-12-2023,Bhindi (Ladies finger),37.0
06-12-2023,Bhindi (Ladies finger),37.0
07-12-2023,Bhindi (Ladies finger),37.0
08-12-2023,Bhindi (Ladies finger),42.5
10-12-2023,Bhindi (Ladies finger),42.5
11-12-2023,Bhindi (Ladies finger),60.0
12-12-2023,Bhindi (Ladies finger),50.0
13-12-2023,Bhindi (Ladies finger),50.0
15-12-2023,Bhindi (Ladies finger),47.5
17-12-2023,Bhindi (Ladies finger),50.0
18-12-2023,Bhindi (Ladies finger),50.0
19-12-2023,Bhindi (Ladies finger),45.0
20-12-2023,Bhindi (Ladies finger),45.0
21-12-2023,Bhindi (Ladies finger),50.0
22-12-2023,Bhindi (Ladies finger),55.0
24-12-2023,Bhindi (Ladies finger),47.5
25-12-2023,Bhindi (Ladies finger),45.0
26-12-2023,Bhindi (Ladies finger),47.5
27-12-2023,Bhindi (Ladies finger),45.0
28-12-2023,Bhindi (Ladies finger),45.0
29-12-2023,Bhindi (Ladies finger),45.0
31-12-2023,Bhindi (Ladies finger),45.0
01-01-2024,Bhindi (Ladies finger),45.0
01-01-2023,Tomato,18.0
02-01-2023,Tomato,16.0
03-01-2023,Tomato,16.0
04-01-2023,Tomato,16.0
08-01-2023,Tomato,16.0
11-01-2023,Tomato,16.0
12-01-2023,Tomato,16.0
15-01-2023,Tomato,16.0
17-01-2023,Tomato,16.0
22-01-2023,Tomato,16.0
23-01-2023,Tomato,16.0
24-01-2023,Tomato,16.0
25-01-2023,Tomato,16.0
27-01-2023,Tomato,16.0
29-01-2023,Tomato,16.0
30-01-2023,Tomato,16.0
31-01-2023,Tomato,16.0
01-02-2023,Tomato,16.0
02-02-2023,Tomato,16.0
03-02-2023,Tomato,16.0
05-02-2023,Tomato,16.0
06-02-2023,Tomato,16.0
07-02-2023,Tomato,16.0
08-02-2023,Tomato,16.0
09-02-2023,Tomato,16.0
10-02-2023,Tomato,16.0
12-02-2023,Tomato,16.0
13-02-2023,Tomato,16.0
14-02-2023,Tomato,16.0
15-02-2023,Tomato,16.0
16-02-2023,Tomato,16.0
17-02-2023,Tomato,16.0
19-02-2023,Tomato,16.0
20-02-2023,Tomato,16.0
21-02-2023,Tomato,16.0
22-02-2023,Tomato,16.0
23-02-2023,Tomato,16.0
24-02-2023,Tomato,16.0
26-02-2023,Tomato,16.0
27-02-2023,Tomato,16.0
28-02-2023,Tomato,16.0
01-03-2023,Tomato,16.0
02-03-2023,Tomato,16.0
03-03-2023,Tomato,16.0
05-03-2023,Tomato,16.0
06-03-2023,Tomato,16.0
08-03-2023,Tomato,16.0
09-03-2023,Tomato,16.0
10-03-2023,Tomato,16.0
12-03-2023,Tomato,16.0
13-03-2023,Tomato,16.0
14-03-2023,Tomato,16.0
15-03-2023,Tomato,16.0
16-03-2023,Tomato,16.0
17-03-2023,Tomato,16.0
19-03-2023,Tomato,16.0
20-03-2023,Tomato,16.0
21-03-2023,Tomato,16.0
22-03-2023,Tomato,16.0
23-03-2023,Tomato,16.0
24-03-2023,Tomato,16.0
26-03-2023,Tomato,16.0
27-03-2023,Tomato,16.0
28-03-2023,Tomato,16.0
29-03-2023,Tomato,16.0
30-03-2023,Tomato,16.0
31-03-2023,Tomato,16.0
02-04-2023,Tomato,16.0
03-04-2023,Tomato,16.0
04-04-2023,Tomato,16.0
05-04-2023,Tomato,16.0
06-04-2023,Tomato,16.0
07-04-2023,Tomato,16.0
09-04-2023,Tomato,16.0
10-04-2023,Tomato,16.0
11-04-2023,Tomato,16.0
12-04-2023,Tomato,16.0
13-04-2023,Tomato,16.0
14-04-2023,Tomato,16.0
16-04-2023,Tomato,16.0
17-04-2023,Tomato,16.0
18-04-2023,Tomato,16.0
19-04-2023,Tomato,16.0
21-04-2023,Tomato,16.0
23-04-2023,Tomato,16.0
24-04-2023,Tomato,16.0
25-04-2023,Tomato,16.0
26-04-2023,Tomato,16.0
27-04-2023,Tomato,16.0
28-04-2023,Tomato,16.0
30-04-2023,Tomato,16.0
02-05-2023,Tomato,16.0
03-05-2023,Tomato,16.0
04-05-2023,Tomato,16.0
05-05-2023,Tomato,16.0
07-05-2023,Tomato,16.0
08-05-2023,Tomato,16.0
09-05-2023,Tomato,16.0
10-05-2023,Tomato,16.0
11-05-2023,Tomato,16.0
12-05-2023,Tomato,16.0
14-05-2023,Tomato,16.0
15-05-2023,Tomato,16.0
16-05-2023,Tomato,16.0
17-05-2023,Tomato,16.0
18-05-2023,Tomato,16.0
19-05-2023,Tomato,16.0
21-05-2023,Tomato,16.0
23-05-2023,Tomato,16.0
24-05-2023,Tomato,16.0
25-05-2023,Tomato,16.0
26-05-2023,Tomato,16.0
28-05-2023,Tomato,16.0
29-05-2023,Tomato,16.0
30-05-2023,Tomato,16.0
31-05-2023,Tomato,16.0
01-06-2023,Tomato,16.0
02-06-2023,Tomato,16.0
04-06-2023,Tomato,16.0
05-06-2023,Tomato,16.0
06-06-2023,Tomato,16.0
07-06-2023,Tomato,16.0
08-06-2023,Tomato,16.0
11-06-2023,Tomato,16.0
12-06-2023,Tomato,16.0
13-06-2023,Tomato,16.0
14-06-2023,Tomato,16.0
15-06-2023,Tomato,16.0
16-06-2023,Tomato,16.0
18-06-2023,Tomato,16.0
19-06-2023,Tomato,16.0
20-06-2023,Tomato,16.0
21-06-2023,Tomato,16.0
22-06-2023,Tomato,16.0
23-06-2023,Tomato,16.0
25-06-2023,Tomato,16.0
26-06-2023,Tomato,16.0
27-06-2023,Tomato,16.0
28-06-2023,Tomato,16.0
29-06-2023,Tomato,16.0
30-06-2023,Tomato,16.0
02-07-2023,Tomato,16.0
03-07-2023,Tomato,16.0
04-07-2023,Tomato,16.0
05-07-2023,Tomato,16.0
06-07-2023,Tomato,16.0
07-07-2023,Tomato,16.0
09-07-2023,Tomato,16.0
11-07-2023,Tomato,16.0
12-07-2023,Tomato,16.0
13-07-2023,Tomato,16.0
14-07-2023,Tomato,16.0
16-07-2023,Tomato,16.0
17-07-2023,Tomato,16.0
18-07-2023,Tomato,16.0
19-07-2023,Tomato,16.0
20-07-2023,Tomato,16.0
21-07-2023,Tomato,16.0
23-07-2023,Tomato,16.0
24-07-2023,Tomato,16.0
25-07-2023,Tomato,16.0
26-07-2023,Tomato,16.0
27-07-2023,Tomato,16.0
28-07-2023,Tomato,16.0
30-07-2023,Tomato,16.0
31-07-2023,Tomato,16.0
01-08-2023,Tomato,16.0
02-08-2023,Tomato,16.0
03-08-2023,Tomato,16.0
04-08-2023,Tomato,16.0
06-08-2023,Tomato,16.0
07-08-2023,Tomato,16.0
08-08-2023,Tomato,16.0
09-08-2023,Tomato,16.0
10-08-2023,Tomato,16.0
11-08-2023,Tomato,16.0
13-08-2023,Tomato,16.0
14-08-2023,Tomato,16.0
17-08-2023,Tomato,16.0
18-08-2023,Tomato,16.0
20-08-2023,Tomato,16.0
21-08-2023,Tomato,16.0
22-08-2023,Tomato,16.0
23-08-2023,Tomato,16.0
24-08-2023,Tomato,16.0
25-08-2023,Tomato,16.0
27-08-2023,Tomato,16.0
28-08-2023,Tomato,16.0
29-08-2023,Tomato,16.0
30-08-2023,Tomato,16.0
31-08-2023,Tomato,16.0
01-09-2023,Tomato,16.0
03-09-2023,Tomato,16.0
04-09-2023,Tomato,16.0
06-09-2023,Tomato,16.0
07-09-2023,Tomato,16.0
08-09-2023,Tomato,16.0
10-09-2023,Tomato,16.0
11-09-2023,Tomato,16.0
12-09-2023,Tomato,16.0
13-09-2023,Tomato,16.0
14-09-2023,Tomato,16.0
15-09-2023,Tomato,16.0
17-09-2023,Tomato,16.0
18-09-2023,Tomato,16.0
19-09-2023,Tomato,16.0
20-09-2023,Tomato,16.0
21-09-2023,Tomato,16.0
22-09-2023,Tomato,16.0
24-09-2023,Tomato,16.0
25-09-2023,Tomato,16.0
26-09-2023,Tomato,16.0
27-09-2023,Tomato,16.0
28-09-2023,Tomato,16.0
01-10-2023,Tomato,16.0
02-10-2023,Tomato,16.0
03-10-2023,Tomato,16.0
04-10-2023,Tomato,16.0
05-10-2023,Tomato,16.0
06-10-2023,Tomato,16.0
08-10-2023,Tomato,16.0
09-10-2023,Tomato,16.0
10-10-2023,Tomato,16.0
11-10-2023,Tomato,16.0
12-10-2023,Tomato,16.0
13-10-2023,Tomato,16.0
15-10-2023,Tomato,16.0
16-10-2023,Tomato,16.0
17-10-2023,Tomato,16.0
18-10-2023,Tomato,16.0
19-10-2023,Tomato,16.0
20-10-2023,Tomato,16.0
22-10-2023,Tomato,16.0
23-10-2023,Tomato,16.0
24-10-2023,Tomato,16.0
26-10-2023,Tomato,16.0
27-10-2023,Tomato,16.0
29-10-2023,Tomato,16.0
30-10-2023,Tomato,16.0
31-10-2023,Tomato,16.0
02-11-2023,Tomato,16.0
03-11-2023,Tomato,16.0
06-11-2023,Tomato,16.0
07-11-2023,Tomato,16.0
08-11-2023,Tomato,16.0
09-11-2023,Tomato,16.0
10-11-2023,Tomato,16.0
12-11-2023,Tomato,16.0
13-11-2023,Tomato,16.0
14-11-2023,Tomato,16.0
16-11-2023,Tomato,16.0
17-11-2023,Tomato,16.0
19-11-2023,Tomato,16.0
20-11-2023,Tomato,16.0
21-11-2023,Tomato,16.0
22-11-2023,Tomato,16.0
23-11-2023,Tomato,16.0
24-11-2023,Tomato,16.0
26-11-2023,Tomato,16.0
27-11-2023,Tomato,16.0
28-11-2023,Tomato,16.0
29-11-2023,Tomato,16.0
30-11-2023,Tomato,16.0
04-12-2023,Tomato,16.0
05-12-2023,Tomato,16.0
06-12-2023,Tomato,16.0
07-12-2023,Tomato,16.0
08-12-2023,Tomato,16.0
10-12-2023,Tomato,16.0
11-12-2023,Tomato,16.0
12-12-2023,Tomato,16.0
13-12-2023,Tomato,16.0
15-12-2023,Tomato,16.0
17-12-2023,Tomato,16.0
18-12-2023,Tomato,16.0
19-12-2023,Tomato,16.0
20-12-2023,Tomato,16.0
21-12-2023,Tomato,16.0
22-12-2023,Tomato,16.0
24-12-2023,Tomato,16.0
25-12-2023,Tomato,16.0
26-12-2023,Tomato,16.0
27-12-2023,Tomato,16.0
28-12-2023,Tomato,16.0
29-12-2023,Tomato,16.0
31-12-2023,Tomato,16.0
01-01-2024,Tomato,16.0
01-01-2023,Onion,22.0
02-01-2023,Onion,22.0
03-01-2023,Onion,21.0
04-01-2023,Onion,21.0
08-01-2023,Onion,20.0
11-01-2023,Onion,18.0
12-01-2023,Onion,18.0
15-01-2023,Onion,17.0
17-01-2023,Onion,18.0
22-01-2023,Onion,18.0
23-01-2023,Onion,18.0
24-01-2023,Onion,16.0
25-01-2023,Onion,16.0
27-01-2023,Onion,17.0
29-01-2023,Onion,15.0
30-01-2023,Onion,14.0
31-01-2023,Onion,13.5
01-02-2023,Onion,13.0
02-02-2023,Onion,13.0
03-02-2023,Onion,12.5
05-02-2023,Onion,12.0
06-02-2023,Onion,13.0
07-02-2023,Onion,14.0
08-02-2023,Onion,14.0
09-02-2023,Onion,13.0
10-02-2023,Onion,13.0
12-02-2023,Onion,13.0
13-02-2023,Onion,13.0
14-02-2023,Onion,13.0
15-02-2023,Onion,12.0
16-02-2023,Onion,12.0
17-02-2023,Onion,12.0
19-02-2023,Onion,12.0
20-02-2023,Onion,11.0
21-02-2023,Onion,11.0
22-02-2023,Onion,11.0
23-02-2023,Onion,11.0
24-02-2023,Onion,11.0
26-02-2023,Onion,11.0
27-02-2023,Onion,11.0
28-02-2023,Onion,11.0
01-03-2023,Onion,11.0
02-03-2023,Onion,11.0
03-03-2023,Onion,12.0
05-03-2023,Onion,12.0
06-03-2023,Onion,13.0
08-03-2023,Onion,13.0
09-03-2023,Onion,13.0
10-03-2023,Onion,12.0
12-03-2023,Onion,12.0
13-03-2023,Onion,12.0
14-03-2023,Onion,12.0
15-03-2023,Onion,12.0
16-03-2023,Onion,12.0
17-03-2023,Onion,11.0
19-03-2023,Onion,11.0
20-03-2023,Onion,11.0
21-03-2023,Onion,12.0
22-03-2023,Onion,11.0
23-03-2023,Onion,11.0
24-03-2023,Onion,11.0
26-03-2023,Onion,11.0
27-03-2023,Onion,12.0
28-03-2023,Onion,10.0
29-03-2023,Onion,10.0
30-03-2023,Onion,9.0
31-03-2023,Onion,9.0
02-04-2023,Onion,8.0
03-04-2023,Onion,11.0
04-04-2023,Onion,12.0
05-04-2023,Onion,12.0
06-04-2023,Onion,11.0
07-04-2023,Onion,10.0
09-04-2023,Onion,9.0
10-04-2023,Onion,9.0
11-04-2023,Onion,9.0
12-04-2023,Onion,9.0
13-04-2023,Onion,10.0
14-04-2023,Onion,9.0
16-04-2023,Onion,10.0
17-04-2023,Onion,9.5
18-04-2023,Onion,9.0
19-04-2023,Onion,9.0
21-04-2023,Onion,9.0
23-04-2023,Onion,9.0
24-04-2023,Onion,9.0
25-04-2023,Onion,8.5
26-04-2023,Onion,8.0
27-04-2023,Onion,8.0
28-04-2023,Onion,8.0
30-04-2023,Onion,8.5
02-05-2023,Onion,10.0
03-05-2023,Onion,8.5
04-05-2023,Onion,11.0
05-05-2023,Onion,11.0
07-05-2023,Onion,10.0
08-05-2023,Onion,10.0
09-05-2023,Onion,10.0
10-05-2023,Onion,10.0
11-05-2023,Onion,10.0
12-05-2023,Onion,12.0
14-05-2023,Onion,10.5
15-05-2023,Onion,10.0
16-05-2023,Onion,10.0
17-05-2023,Onion,10.0
18-05-2023,Onion,11.0
19-05-2023,Onion,12.0
21-05-2023,Onion,10.0
23-05-2023,Onion,11.0
24-05-2023,Onion,10.0
25-05-2023,Onion,10.0
26-05-2023,Onion,11.0
28-05-2023,Onion,12.0
29-05-2023,Onion,12.0
30-05-2023,Onion,13.0
31-05-2023,Onion,12.0
01-06-2023,Onion,12.0
02-06-2023,Onion,12.0
04-06-2023,Onion,12.0
05-06-2023,Onion,13.0
06-06-2023,Onion,13.0
07-06-2023,Onion,14.0
08-06-2023,Onion,14.0
11-06-2023,Onion,15.0
12-06-2023,Onion,13.0
13-06-2023,Onion,15.0
14-06-2023,Onion,14.0
15-06-2023,Onion,14.0
16-06-2023,Onion,13.0
18-06-2023,Onion,14.0
19-06-2023,Onion,14.0
20-06-2023,Onion,14.0
21-06-2023,Onion,14.0
22-06-2023,Onion,14.0
23-06-2023,Onion,14.0
25-06-2023,Onion,13.0
26-06-2023,Onion,13.0
27-06-2023,Onion,14.0
28-06-2023,Onion,15.0
29-06-2023,Onion,15.0
30-06-2023,Onion,15.0
02-07-2023,Onion,16.0
03-07-2023,Onion,17.0
04-07-2023,Onion,16.0
05-07-2023,Onion,16.0
06-07-2023,Onion,17.0
07-07-2023,Onion,17.0
09-07-2023,Onion,17.0
11-07-2023,Onion,17.0
12-07-2023,Onion,17.0
13-07-2023,Onion,16.0
14-07-2023,Onion,16.0
16-07-2023,Onion,17.0
17-07-2023,Onion,16.0
18-07-2023,Onion,18.0
19-07-2023,Onion,17.0
20-07-2023,Onion,17.0
21-07-2023,Onion,17.0
23-07-2023,Onion,18.0
24-07-2023,Onion,16.0
25-07-2023,Onion,16.0
26-07-2023,Onion,16.0
27-07-2023,Onion,16.0
28-07-2023,Onion,16.0
30-07-2023,Onion,16.0
